gameId,mode,rounds,turnsTaken,gini,herfindahl,treasuryFlowRate,treasuryFinal,netWorth_Extractive,netWorth_Generative,netWorth_Conditional,netWorth_FreeRider,netWorth_Pavlov,cash_Extractive,cash_Generative,cash_Conditional,cash_FreeRider,cash_Pavlov,jail_Extractive,jail_Generative,jail_Conditional,jail_FreeRider,jail_Pavlov,buys_Extractive,buys_Generative,buys_Conditional,buys_FreeRider,buys_Pavlov,builds_Extractive,builds_Generative,builds_Conditional,builds_FreeRider,builds_Pavlov,liquidations,proposals,proposalsPassed,winner
1,Monopolist,45,225,0.2518,0.4187,0.00,0,820,553,912,1418,2072,180,173,252,1418,582,5,3,12,0,3,4,10,5,0,4,14,0,0,0,12,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
3,Monopolist,37,186,0.1823,0.3016,0.00,0,2009,1377,1350,778,911,809,217,200,778,171,0,3,0,4,2,4,8,8,0,3,8,0,0,0,8,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
5,Monopolist,35,176,0.1566,0.2654,0.00,0,2044,1048,1266,881,1261,484,118,666,881,221,1,3,0,3,0,7,4,8,0,3,16,0,0,0,10,0,0,0,0x1bF0762288A5e4FD67fD2B0B08321865C8a47a83
7,Monopolist,37,189,0.1300,0.3450,0.00,0,1138,1405,1480,2117,1110,1138,985,170,907,90,0,0,6,3,0,4,8,8,0,1,16,0,0,0,4,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
9,Monopolist,41,206,0.2076,0.3197,0.00,0,2029,1577,1630,1032,557,729,417,410,1032,47,3,3,3,3,1,7,8,8,0,3,12,0,0,0,12,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
11,Monopolist,46,233,0.1528,0.2639,0.00,0,2041,1294,1657,828,1480,511,224,197,828,530,4,0,6,3,2,8,6,8,0,6,21,0,0,0,7,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
13,Monopolist,33,166,0.2034,0.3025,0.00,0,880,1140,692,1336,2002,80,1140,232,476,482,0,0,4,0,3,6,6,6,0,3,12,0,0,0,6,0,0,0,0x1bF0762288A5e4FD67fD2B0B08321865C8a47a83
15,Monopolist,42,212,0.1071,0.2851,0.00,0,1169,1695,2054,1337,1695,1169,215,514,617,435,0,3,0,0,0,6,5,9,0,4,16,0,0,0,14,0,0,0,0xae42d435907C78C1a9ccc9508ee9af76A301D716
17,Monopolist,43,215,0.1779,0.2603,0.00,0,638,1338,1895,2011,1543,638,548,305,571,503,2,0,3,6,0,5,7,6,0,4,17,0,0,0,6,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
19,Monopolist,43,217,0.1115,0.3182,0.00,0,1430,1924,1098,1883,2015,610,884,1098,213,405,0,1,0,3,0,8,5,10,0,2,21,0,0,0,8,0,0,0,0x2F5127d166C77eA01941cF14C7b7F0221BBaFf33
21,Monopolist,50,250,0.2835,0.3518,0.00,0,1143,1050,209,1766,2057,593,1050,9,586,627,8,0,3,9,4,4,9,8,0,4,10,0,0,0,4,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
23,Monopolist,37,185,0.2074,0.3407,0.00,0,1476,1512,432,1257,2048,346,102,432,1257,848,3,3,1,0,5,5,7,7,0,1,16,0,0,0,4,0,0,0,0x2F5127d166C77eA01941cF14C7b7F0221BBaFf33
25,Monopolist,48,242,0.2018,0.2892,0.00,0,700,965,1599,2061,1875,170,965,459,231,585,0,6,6,3,6,6,8,7,0,3,16,0,0,0,7,0,0,0,0x1bF0762288A5e4FD67fD2B0B08321865C8a47a83
27,Monopolist,30,154,0.3138,0.4048,0.00,0,881,1176,2014,98,1481,181,1176,554,98,521,6,0,3,0,3,3,7,8,0,3,10,0,0,0,7,0,0,0,0x2F5127d166C77eA01941cF14C7b7F0221BBaFf33
29,Monopolist,42,213,0.1545,0.3516,0.00,0,1138,1140,1114,2026,832,378,40,674,946,832,0,0,3,6,4,6,8,7,0,1,24,0,0,0,4,0,0,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
